交易对方分析结果：
格式：商家名称 (出现次数)
宁波市宝昌汽车销售服务有限公司 (2)
bmw官方旗舰店 (2)
银通 (2)
浙江省财政厅 (2)
晶晶 (2)
方松长 (2)
马路边边串串(华星路店) (2)
口碑 (2)
叶浦都餐饮管理（上海）有限公司 (2)
熊先生经商 (2)
西特超市 (2)
天猫超市 (2)
肯德基(三门首府餐厅) (2)
傻子瓜子 (2)
悦客食品商行 (2)
川味麻辣烫 (2)
庆丰农贸市场肉类沈跃民 (2)
吉祥馄饨(杭州青芝坞店) (2)
巧燕坊 (2)
阿里健康大药房 (2)
庆丰人家 (2)
马路边边串串香（富邦广场店） (2)
十足(宁波火车南站三店) (2)
南京耗材打印机 (2)
loongtr旗舰店 (2)
汉堡王(欧美中心店) (2)
老方肉店 (2)
浙大豚魂、诺德喜仕屋 (2)
杭州市西湖区林长车行 (2)
来壹碗餐馆 (2)
可孚医疗器械旗舰店 (2)
麦当劳(黄龙餐厅) (2)
杭州杭千高速公路发展有限公司 (2)
来一碗 (2)
明(*明) (2)
梅霞 (2)
合肥荣硕网络科技有限公司 (2)
如家酒店（杭州西湖黄龙万科中心文三路店） (2)
*月甫 (2)
浙江网商银行股份有限公司 (2)
蜜雪冰城907820店 (2)
coditto (2)
携程Trip com (2)
博地影秀城 (2)
三门县尚多超市 (2)
绫lingerie (2)
稳健旗舰店 (2)
星创眼镜 (2)
国友伟业数码专营店 (2)
绿源电动车 (2)
福建盛凯峰旭电子商务有限公司 (2)
享道出行 (2)
什鏏宁波汉塘路店 (2)
宁波阪急商业有限公司 (2)
泾河新城富瑞杜江喜服装店 (2)
泾河新城富瑞大田喜服装店 (2)
蜜雪冰城904041店 (2)
宁波镇海牙科医院有限公司 (2)
重庆鑫榜科技有限公司 (2)
现代商城发展有限公司 (2)
甬丰水果 (2)
义乌**司 (2)
华购 (2)
码上咖啡 (2)
宁波市海曙区南站广场区域综合管理办公室 (2)
上海芃奚文化传媒有限公司 (2)
三门县财政局 (2)
罗昭旺 (2)
海底捞火锅（万科广场店） (2)
泰盛电子 (2)
蛟川华红小吃店 (2)
罗森(樱花路) (2)
意芭（上海）商业有限公司 (2)
宁波享遛电子科技有限公司 (2)
陈凤娥 (2)
宁波市镇海发展有限公司 (2)
三门县周夏女副食品店 (2)
浙大农生环店 (2)
汕尾骏斯旅游专营店 (2)
ビックカメラ渋谷東口店 (2)
商户_翁舟兵 (2)
舟山市普陀山大数据发展有限公司 (2)
天** (2)
迪卡侬（银泰路店） (2)
及时**光 (2)
宁波十足 (2)
行呗停车 (2)
同程旅行 (2)
睿谷**店 (2)
晶宝 (2)
HY (2)
华强方特（宁波）文化旅游发展有限公司 (2)
LAWSON (2)
蜜雪冰城901719店 (2)
大千图文 (2)
浙江电马云车科技有限公司 (2)
万科1902 (2)
br**店 (2)
na**店 (2)
迪卡**店 (2)
深圳市大疆百旺科技有限公司 (2)
st**店 (2)
宁波诺丁山文化产业有限公司 (2)
王先财 (2)
郭锐**3 (2)
兰拓相机租赁 (2)
x***0 (2)
天猫**市 (2)
敦煌市广汇缘超市 (2)
**莉 (2)
嘟***你 (2)
北京谷丰源餐饮服务有限公司 (2)
国际会展中心 (2)
宁波启迪驿停车管理服务有限公司 (2)
龚海宝烧烤 (2)
昆明西山龙门景区店 (2)
肯德基(镇海华润餐厅) (2)
福建千里香 (2)
王俊 (2)
牛吃草YP (2)
华鼎菲妮迪国际时尚零售有限公司 (1)
萌萌 (1)
车费 (1)
出租车何军华 (1)
pay163pay163com (1)
汉堡王(宁波镇海万科) (1)
上海美特斯邦威服饰股份有限公司 (1)
swy8547526 (1)
美吖吖moya (1)
杭州华容道餐饮管理有限公司 (1)
(☆_☆) (1)
韵达快递 (1)
颜_柒熙 (1)
桑梓之乡 (1)
品胜数码旗舰店 (1)
金味旗舰店 (1)
田园阁竹炭旗舰店 (1)
古早永乐村(东坡路店) (1)
卡创话费充值专营店 (1)
少瑛(*少瑛) (1)
张永泉 (1)
杨天旭(杨天旭) (1)
何明明 (1)
baseus倍思旗舰店 (1)
亿嘻休闲吧 (1)
胜哥 (1)
御姐日记旗舰店 (1)
toshiba东芝存储旗舰店 (1)
cosme官方海外旗舰店 (1)
zuojunjie520 (1)
张菁 (1)
回街epoch (1)
issz家纺旗舰店 (1)
mondrian旗舰店 (1)
宝迪妮旗舰店 (1)
全职游_戏人生 (1)
健小辉 (1)
小米科技有限责任公司 (1)
收纳总动员旗舰店 (1)
琪 (1)
十足(温州火车南站二店) (1)
姚良芳 (1)
老严 (1)
天津舒行科技有限公司 (1)
杨和燕 (1)
terrys0206 (1)
喜仕屋牛丼咖喱温州大学城店 (1)
蒋碎华 (1)
肯德基(杭州新东站2餐厅) (1)
包在我身上0227 (1)
杭州金投健康网络科技有限公司 (1)
捷诚汽修美容装潢 (1)
新昌服务区吉祥馄饨 (1)
和美酒店管理（上海）有限公司 (1)
麦哥烧饼(玉古路店) (1)
首旅如家酒店集团 (1)
*红 (1)
汤仁义 (1)
留夫鸭(玉古路店) (1)
鹿角巷（文三路） (1)
李长林 (1)
东山店 (1)
高礼平 (1)
杭州市天翔通信设备有限公司 (1)
陈美珍 (1)
staycation旗舰店 (1)
安徽易点零网络科技有限公司 (1)
—u—(*天旭) (1)
蚂蚁智信（杭州）信息技术有限公司 (1)
王萌 (1)
浙大便利店 (1)
钱佳 (1)
马红波 (1)
如意馄饨宁波庄市街道店 (1)
宁波市新益苑工贸公司 (1)
世纪华联超市 (1)
最生活旗舰店 (1)
yukileixiaorong (1)
牛丼咖喱(宁大二村店) (1)
御泥坊 (1)
青春作伴025 (1)
杭州有赞科技有限公司 (1)
Thank u mom炸鸡(嘉里中心店) (1)
金胡椒餐厅（天一店） (1)
宁波远汇影视文化传播有限公司 (1)
乐购大卖场(天一店) (1)
大通冰室宁波天一广场店 (1)
宁波海曙家乡故事饭店 (1)
麦当劳(中山东路餐厅) (1)
甬正麻辣香锅(万科店) (1)
宁波原妆商贸有限公司 (1)
麦当劳(乐购餐厅) (1)
鲁先森宁波银泰百货店 (1)
深圳市海王星辰医药有限公司 (1)
快客(甬北店) (1)
华强方特(宁波)文化旅游发展有限公司 (1)
LMN(黎梦娜) (1)
王玉华 (1)
X真人密室逃脱 (1)
无印良品(宁波凯德来福士店) (1)
南洋往事(世纪东方店) (1)
陈磊 (1)
竹山下旗舰店 (1)
悦步旗舰店 (1)
一点点(新天地店) (1)
德邦物流股份有限公司 (1)
小船出海教育 (1)
良品铺子 (1)
赵大有特产店 (1)
*人祥 (1)
sunsky臻品 (1)
罗燕玲 (1)
长岛文化传播 (1)
屈臣氏(浙江宁波镇海万科广场店) (1)
麦德胜(镇海万科店) (1)
湘潭维度文化创意有限公司 (1)
意杯(1902万科店) (1)
小喵子 (1)
大米评测 (1)
O2(庄市万科店) (1)
国泰财产保险有限责任公司 (1)
顺旺基(彩虹店) (1)
UP售货机(杭州东G层东建设银行旁) (1)
肯德基(宁波火车南站餐厅) (1)
悠百佳总店 (1)
爱好文具官仓路店 (1)
一点点(大梁店) (1)
睛姿商贸(上海)有限公司 (1)
首信购物(双流机场T2 ER-R-2) (1)
滴滴外卖 (1)
刘平华 (1)
锦江之星旅馆有限公司 (1)
福田土猪肉蔬菜店 (1)
刘敏 (1)
小邓鲜水果店老板娘 (1)
翟晓凤 (1)
降龙爪爪（中山广场店） (1)
*明凤 (1)
*冰冰 (1)
全家便利店(成都区域店) (1)
杀价帮购物网 (1)
杨铭宇黄焖鸡米饭建设路店 (1)
生活家生活超市 (1)
亚梅 (1)
燕子便利店 (1)
晓龙(陈晓龙) (1)
*财富 (1)
天马行空(邹文中) (1)
华莱士(建设南新路店) (1)
徐豆豆1992 (1)
朱鹏辉(朱鹏辉) (1)
7ELEVEn便利店(龙湖三千集店) (1)
童冰冰(童梦冰) (1)
邹丽 (1)
WOWO(雕墅店) (1)
成都盼达汽车租赁有限公司 (1)
优衣库(成都SM广场店) (1)
胡涂印象老串串(八里店) (1)
蒲仁虎 (1)
成都伊势丹百货有限公司 (1)
李琼英 (1)
*兴男 (1)
仟吉(武汉高铁站店) (1)
外婆家(武汉万达店) (1)
Today便利店(武汉汉街一店) (1)
*彩萍 (1)
武汉市武昌区靓靓蒸虾餐馆 (1)
金韩宫韩式烤肉(光谷店) (1)
查清海 (1)
家和超市 (1)
永旺综合百货超市(武汉经开店) (1)
麦当劳(永旺经开餐厅) (1)
武汉中影嘉骏影院管理有限公司 (1)
优衣库(武汉经开永旺梦乐城店) (1)
肯德基(新武昌火车站餐厅) (1)
周黑鸭(成都东站候车厅二店) (1)
个体户柳川 (1)
绝味鸭脖（东站二店） (1)
过客 (1)
唐永超 (1)
易充宝话费充值专营店 (1)
北京云虎科技有限公司 (1)
SUBWAY 赛百味(财富又一城店) (1)
sz森振 (1)
兵哥豌豆面（建设路店） (1)
蜜雪冰城 (1)
教育部考试中心 (1)
上海米源饮料有限公司 (1)
麦当劳(成都砖石广场餐厅) (1)
锦江区酱滋小吃店 (1)
charleskeith旗舰店 (1)
周黑鸭(长沙蔡锷路店) (1)
许留山(I CITY店) (1)
王建英 (1)
新味来好粥道长沙阜埠河路店 (1)
渔湾市水果批发超市 (1)
麦当劳(通程广场餐厅) (1)
长沙芒果博纳影院管理有限公司 (1)
SH Outlets (1)
皮皮猪 (1)
家润多(天马店) (1)
必胜客(新五一广场餐厅) (1)
湖南空港实业股份有限公司 (1)
阿斯兰国内航服 (1)
四川航空旗舰店 (1)
麦当劳(甬台温高速台州西服务区餐厅) (1)
广州市番禺区东环旭尧动漫产品开发部 (1)
古茗(光明路店) (1)
李绪清 (1)
qq378832860 (1)
懒虫丶灰太狼 (1)
泮昌虎（一码通个人） (1)
荷塘码头黑鱼馆(吾悦广场店) (1)
正新鸡排(启新店) (1)
主食故事(万科广场店) (1)
日船章鱼小丸子(万科广场店) (1)
可宇 (1)
名羊天下(镇明路店) (1)
物美(宁波万科店) (1)
康安超市 (1)
超神学院(上洋路店) (1)
weitao9420 (1)
胖子 (1)
向 (1)
中图购物(双流机场T2 D-R-11店) (1)
友宝售货机(沈阳机场_A_3) (1)
唐吉东 (1)
漂泊的人 (1)
香风味面食店 (1)
carkoci旗舰店 (1)
征哥哥 (1)
米食先生煲仔饭（朝阳路店） (1)
杨国福麻辣烫 (1)
宝诚潮步连锁运营中心 (1)
果农果业(天马店) (1)
老尹家肉夹馍长沙阜埠河路店 (1)
长沙市雨花区铂晶家庭旅馆 (1)
十足(黄姑山路店) (1)
大雄家(黄姑山路) (1)
海底捞(天伦时代广场店) (1)
首约科技（北京）有限公司天津分公司 (1)
chengdonjunzzq (1)
carlinkit车连易旗舰店 (1)
pilot百乐有范专卖店 (1)
娇娇(*娇) (1)
必胜客(镇海万科餐厅) (1)
苏州朋悦品牌管理有限公司 (1)
1点点(黄龙万科店) (1)
蒋晓琴 (1)
快客（西藏南路店） (1)
a查理先森 (1)
葛诺家居旗舰店 (1)
tzjj自由飞翔 (1)
pencilpartners (1)
一笑而过 (1)
麦纳费森旗舰店 (1)
tysonco (1)
资生堂旗下个人护理旗舰店 (1)
联合利华官方旗舰店 (1)
宁波植物园管理有限公司五 (1)
浙江云行天下网络科技有限公司 (1)
张伟 (1)
大士口旗舰店 (1)
Smart2Pay B.V. (1)
麦当劳(鼓楼步行街餐厅) (1)
潘大师炸鸡腿宁波鼓楼店 (1)
菁拓旗舰店 (1)
*春平 (1)
植护旗舰店 (1)
宏星网络科技 (1)
叁纪电讯充值专营店 (1)
飞扬 (1)
崔小见 (1)
明天会更好 (1)
无锡太湖学院 (1)
蓝白玩偶旗舰店 (1)
正房驿站 (1)
蜀香谣里 (1)
南塘老街似水流年咖啡店 (1)
南塘臭豆腐(南郊路店) (1)
乐购大卖场(明海店) (1)
网易考拉海购 (1)
杭州港特电子 (1)
杭州优卖网络科技有限公司 (1)
恒丰酒业（惠云） (1)
鸿盛烟酒百杂店西陆路 (1)
华必和(东方店) (1)
鄞州友和大药房 (1)
城市早餐 (1)
benks数码旗舰店 (1)
大发 (1)
亿家味1号饭堂 (1)
中科畅连充值专营店 (1)
rebecca(*尧) (1)
江苏星轶影院管理有限公司宁波分公司 (1)
江山话费充值专营店 (1)
汤姆丹尼旗舰店 (1)
*小儿 (1)
樱·千喜日式料理 (1)
阿满大果园(文三路店) (1)
麦当劳(文三华星店餐厅) (1)
无印良品（上海）商业有限公司 (1)
南洋往事(黄龙万科中心店) (1)
zct抽抽 (1)
ai493535532 (1)
多腾智能设备旗舰店 (1)
名创优品（广州）有限责任公司 (1)
郝丽 (1)
狐狸丫丫 (1)
frenaulty (1)
ETC服务商户 (1)
易讯话费充值专营店 (1)
杨蒋杭 (1)
PDD平台商户 (1)
拼多多 (1)
恒澍旗舰店 (1)
zz4_1756 (1)
汴京茶寮 (1)
可可外婆 (1)
章冬妹副食店 (1)
奉化服务区商超 (1)
xiu秀 (1)
亿嘻休闲吧(杭州西湖区) (1)
北门炒粉干 (1)
柒饱 (1)
Reality咖啡 (1)
浙江灵峰教育后勤管理有限公司 (1)
王西瓜(王挺) (1)
魅族商城 (1)
三只松鼠旗舰店 (1)
宴遇.鲜活炭烧(玉古路店) (1)
名创优品(广州)有限责任公司(杭州西湖文三路 (1)
肖金满 (1)
统一商贸（昆山）有限公司上海分公司 (1)
*菊兰 (1)
李 (1)
dfg摩托旗舰店 (1)
大白兔官方旗舰店 (1)
1点点(嘉里中心店) (1)
牛丼咖喱(西溪路店) (1)
维克多数码专营店 (1)
romoss旗舰店 (1)
郑邦林 (1)
大新数码专营店 (1)
tb61544880 (1)
中华崛起dyd (1)
租租车 (1)
倒插门的小背心 (1)
Gofun出行 (1)
杭州市停车产业股份有限公司 (1)
醉牛犇烤肉(万塘路店) (1)
*木平 (1)
绿茶餐厅(杭州湖滨in77E区店) (1)
赵记传承（湖滨店） (1)
飨德传统小吃(万塘路) (1)
二师兄的脊梁（华星大厦店） (1)
立兴伟业 (1)
青禾数码专营店 (1)
ok8屏幕保护膜 (1)
诚诚文印 (1)
中石化碧辟(浙江)石油有限公司 (1)
争鲜回转寿司(天一店) (1)
银泰西选(镇海万科店) (1)
罗森(天一广场华楼巷店) (1)
漂 (1)
虾米虾面(吾悦广场店) (1)
JIMU鸡木 (1)
南孚旗舰店 (1)
肯德基(庄市乐购餐厅) (1)
王西瓜(*挺) (1)
尼桑浙AT6033杨振 (1)
jxlyh91 (1)
姜虎东白丁烤肉(杭州湖滨银泰in77店) (1)
便捷新农都 (1)
揭阳市庆财五金塑胶有限公司 (1)
z猪天晴z (1)
小米趣米专卖店 (1)
shery旗舰店 (1)
宁波北仑银泰店 (1)
兰瑛科技 (1)
小米智能家居自营店 (1)
苹果原装配件专店 (1)
唱吧麦颂KTV杭州万塘汇店 (1)
西湖区客源食品店 (1)
tb433560_2012 (1)
朴墅（石虎山壹号店） (1)
麦当劳(火车南站餐厅) (1)
伟 (1)
艺龙网信息技术（北京）有限公司 (1)
工藤小心仪 (1)
角落良品旗舰店 (1)
无印良品muji官方旗舰店 (1)
九木杂物社 (1)
tb891307666 (1)
天王鑫旗舰店 (1)
蓉冠科技 (1)
颜文彬 (1)
名创优品松鼠窝专卖店 (1)
面?缘 (1)
林长车行 (1)
老婆大人杭州市文一路分店 (1)
幽云 (1)
居梦园旗舰店 (1)
翔记渔庭 (1)
杭州西湖区西湖供销社求实药店 (1)
海底捞火锅(镇海吾悦广场店) (1)
庆丰农贸市场肉店 (1)
苏宁易购官方旗舰店 (1)
玺源运动专营店 (1)
落***然 (1)
UP售货机 (1)
星星日记内衣旗舰店 (1)
奕然(王奕然) (1)
旭美居家日用专营店 (1)
杭州市西湖区季忆餐厅 (1)
mizzzee谜姬旗舰店 (1)
杭州市西湖区晓林电脑商行 (1)
汉堡王(杭州星光城) (1)
上海尹臻餐饮管理有限公司 (1)
杭州同龄阁餐厅 (1)
olfa旗舰店 (1)
杭州千猪网络科技有限公司 (1)
浙江黄龙海鲜餐饮管理有限公司 (1)
品寿司(黄龙中心店) (1)
浙江销售杭州分公司杭州绍兴路加油站 (1)
肯德基(千岛湖餐厅) (1)
杭州千岛湖外高桥大酒店有限公司 (1)
杭州绿城酒店管理有限公司千岛湖分公司 (1)
名创优品杭州西湖文三路2店 (1)
华购超市 (1)
一嗨租车 (1)
必胜客(曙光餐厅) (1)
十足(杭州平海路店) (1)
缸桶屋 (1)
呷哺呷哺(杭州湖滨银泰in77) (1)
杭州城市通卡 (1)
一席地·本地鸡(黄龙店) (1)
于夏墨 (1)
茶百道（玉泉北门店） (1)
老方 (1)
crossline旗舰店 (1)
北京2016北京 (1)
海南掌上能量传媒有限公司 (1)
罗技g官方旗舰店 (1)
妥妥E行 (1)
杭州爱魅文化科技有限公司 (1)
杭州市西湖区新风水果店 (1)
韩千炉自助餐厅 (1)
川味泡菜馆(塘苗路店) (1)
刘晓刚 (1)
娥佩兰旗舰店 (1)
盛俊杰(*俊杰) (1)
游卡桌游文驰专卖店 (1)
杭州肯德基有限公司 (1)
三月遇见她 (1)
庆丰农贸市场 (1)
十二茶涧(杭州嘉里中心) (1)
小米官方旗舰店 (1)
维达官方旗舰店 (1)
安克数码旗舰店 (1)
*红英 (1)
刘正英 (1)
海英 (1)
深圳市沃恩尔科技有限公司 (1)
吴山山77 (1)
70迈旗舰店 (1)
小熊豆豆旗舰店 (1)
花衣裳旗舰店 (1)
云博香韵旗舰店 (1)
庄市腾达电脑服务中心 (1)
thegreenparty家居旗舰店 (1)
代奇奇（吉米理发店） (1)
良芳旗舰店 (1)
renata数码旗舰店 (1)
申甲旗舰店 (1)
乐呵呵数码专营店 (1)
Minmin (1)
本味不秋 (1)
爷不准(*志轩) (1)
ravanelli (1)
长林 (1)
顾一碗手工馄饨(文三店) (1)
好人民间小吃(杭州星光城店) (1)
马路边边 (1)
真牛馆 (1)
名创优品杭州西湖文三路店 (1)
杭州口腔医院集团有限公司 (1)
oa757839285 (1)
香港中国移动通讯旗舰店 (1)
香港中国电信通讯旗舰店 (1)
海底捞火锅(万科广场店) (1)
小米宁波镇海万科1902专卖店 (1)
天一广场 (1)
宁波市医疗中心李惠利东部医院 (1)
wuyue525 (1)
g氏计划 (1)
塞拉宫兰州牛肉面 (1)
鲍师傅糕点 (1)
小米上海正大广场专卖店 (1)
旅途易购售货机 (1)
liu337220214 (1)
北京众易联旅游专营店 (1)
智泉文印 (1)
中国生物材料学会 (1)
宁波市镇海庄市供销社加油站 (1)
阳光豪生酒店车场 (1)
地下停车场 (1)
徐涛 (1)
甜甜水果店 (1)
宁波市海曙麦子餐馆 (1)
天一阁停车场 (1)
东钱湖本地人斌斌农家菜 (1)
本地人斌斌农家 (1)
东钱湖水上旅游 (1)
东钱湖陶公岛 (1)
宁波寓创酒店管理有限公司 (1)
*忠良 (1)
宁波天宁物业有限公司 (1)
陈记牛鲜生 (1)
农夫山泉 (1)
yalebos数码旗舰店 (1)
深圳市活力天汇科技股份有限公司 (1)
theboy时尚装 (1)
海玲852 (1)
桥本环柰 (1)
过三捞 (1)
湘潭市雨湖区大学里兴盛 (1)
*丽平 (1)
华夏出行 (1)
易记烤面筋 (1)
茶百道湘潭大学店 (1)
湘潭市雨湖区乐家优果水果超市 (1)
北京中科锐星科技发展有限公司 (1)
司乎·菓也（宁波阪急店） (1)
鲜肉16号摊位 (1)
微笑每一天 (1)
钉钉官方旗舰店 (1)
宝岛眼镜官方旗舰店 (1)
公牛电器旗舰店 (1)
reizer旗舰店 (1)
锅圈食汇浙江省宁波市鄞州区江东 (1)
